Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),modalprice,pricedate
191,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1250,1300,1250,29-Nov-13
192,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1325,1350,1341,28-Nov-13
193,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1350,1350,1350,23-Nov-13
194,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1300,1300,21-Nov-13
195,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1400,1400,20-Nov-13
196,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1321,1321,1321,19-Nov-13
197,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1350,1350,1350,18-Nov-13
198,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1300,1300,6-Nov-13
199,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1300,1300,21-Oct-13
200,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1251,1251,1251,13-Oct-13
201,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1300,1300,5-Oct-13
202,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1250,1250,1250,3-Oct-13
203,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1300,1300,30-Sep-13
204,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1300,1300,14-Sep-13
205,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1350,1350,1350,11-Sep-13
206,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1300,1300,2-Sep-13
207,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1400,1400,31-Aug-13
208,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1450,1450,1450,21-Aug-13
209,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1325,1325,1325,19-Aug-13
210,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1475,1475,1475,29-Jul-13
211,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1431,1431,1431,25-Jul-13
212,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1300,1300,2-Jul-13
213,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1600,1400,22-Jun-13
214,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1200,1311,1275,18-Jun-13
215,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1225,1411,1225,13-Jun-13
216,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1351,1351,1351,6-Jun-13
217,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1425,1425,1425,22-May-13
218,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1500,1500,17-May-13
219,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1350,1350,1350,5-May-13
220,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1350,1350,1350,4-May-13
221,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1350,1525,1350,27-Apr-13
222,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1400,1400,21-Mar-13
223,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1350,1100,15-Feb-13
224,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1250,1250,1250,11-Feb-13
225,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1550,1550,1550,6-Feb-13
226,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1400,1400,5-Feb-13
227,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1400,1400,4-Feb-13
228,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1300,1300,31-Jan-13
229,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1400,1300,24-Jan-13
230,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1100,1250,1100,23-Jan-13
231,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1300,1300,21-Jan-13
232,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1311,1311,1311,16-Jan-13
233,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1150,1600,1400,10-Jan-13
234,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1400,1400,1-Jan-13
